Ürün Grup ID,Varyant ID,İsim,Satış Fiyatı,İndirimli Fiyatı,Varyant Tip 1,Varyant Değer 1,Varyant Tip 2,Varyant Değer 2
cd83102f-1e19-4ae3-a7fd-a0d57080a73a,7f448a7d-ce64-4b2d-9213-001e57ff80e1,Doğal Ahşap ve Kauçuk Boncuklu Kişiselleştirilebilir Bebek Emzik Askısı,330,275,Emzik Askısı Renk & Desen Seçenekleri,Ayıcıklı - Mavi,,
cd83102f-1e19-4ae3-a7fd-a0d57080a73a,92acd94e-86a9-4a91-86dc-c91dfd93a7bc,Doğal Ahşap ve Kauçuk Boncuklu Kişiselleştirilebilir Bebek Emzik Askısı,330,275,Emzik Askısı Renk & Desen Seçenekleri,Kuş - Pembe,,
cd83102f-1e19-4ae3-a7fd-a0d57080a73a,8986d786-6788-40cf-81af-a25677f0c57e,Doğal Ahşap ve Kauçuk Boncuklu Kişiselleştirilebilir Bebek Emzik Askısı,330,275,Emzik Askısı Renk & Desen Seçenekleri,Uzay - Sarı,,
cd83102f-1e19-4ae3-a7fd-a0d57080a73a,3c7cf143-7d7c-49f6-988b-dab277c7c23d,Doğal Ahşap ve Kauçuk Boncuklu Kişiselleştirilebilir Bebek Emzik Askısı,330,275,Emzik Askısı Renk & Desen Seçenekleri,Yıldız- Mor,,
03ad0642-34a7-45cd-aabd-6e3f585a6c0d,3dd164fd-9648-4f9a-b554-98a6e63d42a4,El Örgüsü Yün Bebek Yelek,605,506,Yelek Bedeni,0-3 Ay,Yelek Rengi,Bej
03ad0642-34a7-45cd-aabd-6e3f585a6c0d,03ee5091-1cc6-436a-a8b4-89db605a5f6d,El Örgüsü Yün Bebek Yelek,605,506,Yelek Bedeni,0-3 Ay,Yelek Rengi,Pembe
03ad0642-34a7-45cd-aabd-6e3f585a6c0d,5538cfea-43e3-42c2-a92c-99d485346b2c,El Örgüsü Yün Bebek Yelek,605,506,Yelek Bedeni,0-3 Ay,Yelek Rengi,Mavi
03ad0642-34a7-45cd-aabd-6e3f585a6c0d,8a7b1290-b8c3-46a2-b0b4-25dcf70c41c7,El Örgüsü Yün Bebek Yelek,605,506,Yelek Bedeni,3-6 Ay,Yelek Rengi,Bej
03ad0642-34a7-45cd-aabd-6e3f585a6c0d,53a1d0da-bead-49ce-a7ab-b07894b6d1e3,El Örgüsü Yün Bebek Yelek,605,506,Yelek Bedeni,3-6 Ay,Yelek Rengi,Pembe
03ad0642-34a7-45cd-aabd-6e3f585a6c0d,182b5985-606d-41dd-8c09-76484c8b7e96,El Örgüsü Yün Bebek Yelek,605,506,Yelek Bedeni,3-6 Ay,Yelek Rengi,Mavi
04ed2773-0dcb-4fa9-93a0-24d39d46e7a1,403ee5e5-a5af-485c-9a29-d1787b01b1b3,Fil Desen ve Düz Renkli 2'li Bebek Müslin Örtü Seti,638,484,Renk,Su yeşili,,
e8bad5c5-817f-47e7-9254-6ddfd2ff459a,35d50120-9c0e-465f-b479-7c6753e28782,Fil Desenli Bebek Seti | Kişiye Özel İsimli Emzik Askılı Yenidoğan Hediye Set,1925,1221,,,,
ea6aa2bc-27ec-496e-a2b9-6cbe792f21e5,477ca801-c012-4727-9396-e2de7b1e4507,Fil Model Amigurumi El Örgüsü Çıngırak Oyuncak,417.89,340.89,,,,
